,Weight (g),,length (cm),,,,,,,,,,,,,,,,
158_3,0.0816,,,,,,,,,,,,,,,,,,
79_3,0,,,,,,,,,,,,,,,,,,
79_4,0,,,,,,,,,,,,,,,,,,
158_4,0.1041,,,,,,,,,,,,,,,,,,
80_1,0,,,,,,,,,,,,,,,,,,
80_2,0,,,,,,,,,,,,,,,,,,
158_5,0.065,,,,,,,,,,,,,,,,,,
159_1,0.1037,,,,,,,,,,,,,,,,,,
159_2,0.0422,,,,,,,,,,,,,,,,,,
159_3,0.0351,,,,,,,,,,,,,,,,,,
73_2,0,,,,,,,,,,,,,,,,,,
159_4,0.0412,,,,,,,,,,,,,,,,,,
159_5,0.0208,,,,,,,,,,,,,,,,,,
16_1,0.066,,,,,,,,,,,,,,,,,,
16_5,0,,,,,,,,,,,,,,,,,,
160_1,0.0538,,,,,,,,,,,,,,,,,,
160_2,0.0868,,,,,,,,,,,,,,,,,,
160_3,0.0576,,,,,,,,,,,,,,,,,,
160_4,0.0869,,,,,,,,,,,,,,,,,,
160_5,0.0395,,,,,,,,,,,,,,,,,,
161_1,0.0397,,,,,,,,,,,,,,,,,,
161_2,0.0456,,,,,,,,,,,,,,,,,,
161_3,0.0405,,,,,,,,,,,,,,,,,,
161_4,0.0253,,,,,,,,,,,,,,,,,,
76_1,0.008,,,,,,,,,,,,,,,,,,
161_5,0.0456,,,,,,,,,,,,,,,,,,
162_1,0.074,,,,,,,,,,,,,,,,,,
162_2,0.0304,,,,,,,,,,,,,,,,,,
162_3,0.0548,,,,,,,,,,,,,,,,,,
162_4,0.0393,,,,,,,,,,,,,,,,,,
162_5,0.1054,,,,,,,,,,,,,,,,,,
163_1,0.0373,,,,,,,,,,,,,,,,,,
163_2,0.0182,,,,,,,,,,,,,,,,,,
77_5,0,,,,,,,,,,,,,,,,,,
163_3,0.0228,,,,,,,,,,,,,,,,,,
163_4,0.0844,,,,,,,,,,,,,,,,,,
163_5,0.0238,,,,,,,,,,,,,,,,,,
164_1,0.0922,,,,,,,,,,,,,,,,,,
78_5,0,,,,,,,,,,,,,,,,,,
164_2,0.0829,,,,,,,,,,,,,,,,,,
164_3,0.0545,,,,,,,,,,,,,,,,,,
164_4,0.0313,,,,,,,,,,,,,,,,,,
164_5,0.0423,,,,,,,,,,,,,,,,,,
84_5,0,,,,,,,,,,,,,,,,,,
83_1,0,,,,,,,,,,,,,,,,,,
165_1,0.0557,,,,,,,,,,,,,,,,,,
83_3,0,,,,,,,,,,,,,,,,,,
165_2,0.0894,,,,,,,,,,,,,,,,,,
165_3,0.053,,,,,,,,,,,,,,,,,,
165_4,0.0288,,,,,,,,,,,,,,,,,,
165_5,0.037,,,,,,,,,,,,,,,,,,
166_1,0.0626,,,,,,,,,,,,,,,,,,
166_2,0.109,,,,,,,,,,,,,,,,,,
166_3,0.0477,,,,,,,,,,,,,,,,,,
166_4,0.1323,,,,,,,,,,,,,,,,,,
167_1,0.0568,,,,,,,,,,,,,,,,,,
167_2,0.0441,,,,,,,,,,,,,,,,,,
167_3,0.0765,,,,,,,,,,,,,,,,,,
167_4,0.0416,,,,,,,,,,,,,,,,,,
167_5,0.0295,,,,,,,,,,,,,,,,,,
168_1,0.0386,,,,,,,,,,,,,,,,,,
168_2,0.0831,,,,,,,,,,,,,,,,,,
168_3,0.0791,,,,,,,,,,,,,,,,,,
166_5,0,,,,,,,,,,,,,,,,,,
168_4,0.0468,,,,,,,,,,,,,,,,,,
169_1,0.0088,,,,,,,,,,,,,,,,,,
169_2,0.0055,,,,,,,,,,,,,,,,,,
169_3,0.0185,,,,,,,,,,,,,,,,,,
169_4,0.0222,,,,,,,,,,,,,,,,,,
169_5,0.0133,,,,,,,,,,,,,,,,,,
170_1,0.0172,,,,,,,,,,,,,,,,,,
170_2,0.0076,,,,,,,,,,,,,,,,,,
170_3,0.0101,,,,,,,,,,,,,,,,,,
168_5,0,,,,,,,,,,,,,,,,,,
170_4,0.0101,,,,,,,,,,,,,,,,,,
170_5,0.0102,,,,,,,,,,,,,,,,,,
171_1,0.0278,,,,,,,,,,,,,,,,,,
171_2,0.0225,,,,,,,,,,,,,,,,,,
171_3,0.0166,,,,,,,,,,,,,,,,,,
