Name,Weight (g),,length (cm),,,,,,,,,,,,,,,,
140723_76_3,0.0336,,,,,,,,,,,,,,,,,,
140723_76_4,0.0218,,,,,,,,,,,,,,,,,,
140723_76_5,0.0318,,,,,,,,,,,,,,,,,,
140723_77_1,0.0855,,,,,,,,,,,,,,,,,,
140723_77_2,0.0923,,,,,,,,,,,,,,,,,,
140723_77_3,0.097,,,,,,,,,,,,,,,,,,
140723_77_4,0.0732,,,,,,,,,,,,,,,,,,
140723_77_5,0,,,,,,,,,,,,,,,,,,
140723_78_1,0.0551,,,,,,,,,,,,,,,,,,
140723_78_2,0.0703,,,,,,,,,,,,,,,,,,
140723_78_3,0.0192,,,,,,,,,,,,,,,,,,
140723_78_4,0.1096,,,,,,,,,,,,,,,,,,
140723_78_5,0,,,,,,,,,,,,,,,,,,
140723_84_1,0.0236,,,,,,,,,,,,,,,,,,
140723_84_2,0.0448,,,,,,,,,,,,,,,,,,
140723_84_3,0.0715,,,,,,,,,,,,,,,,,,
140723_84_4,0.0481,,,,,,,,,,,,,,,,,,
140723_84_5,0,,,,,,,,,,,,,,,,,,
140723_83_1,0,,,,,,,,,,,,,,,,,,
140723_83_2,0.0484,,,,,,,,,,,,,,,,,,
140723_83_3,0,,,,,,,,,,,,,,,,,,
140723_83_4,0.0627,,,,,,,,,,,,,,,,,,
140723_83_5,0.0633,,,,,,,,,,,,,,,,,,
140723_164_1,0.0922,,,,,,,,,,,,,,,,,,
140723_164_2,0.0829,,,,,,,,,,,,,,,,,,
140723_164_3,0.0545,,,,,,,,,,,,,,,,,,
140723_164_4,0.0313,,,,,,,,,,,,,,,,,,
140723_164_5,0.0423,,,,,,,,,,,,,,,,,,
140723_163_1,0.0373,,,,,,,,,,,,,,,,,,
140723_163_2,0.0182,,,,,,,,,,,,,,,,,,
140723_163_3,0.0228,,,,,,,,,,,,,,,,,,
140723_163_4,0.0844,,,,,,,,,,,,,,,,,,
140723_163_5,0.0238,,,,,,,,,,,,,,,,,,
140723_166_1,0.0626,,,,,,,,,,,,,,,,,,
140723_166_2,0.109,,,,,,,,,,,,,,,,,,
140723_166_3,0.0477,,,,,,,,,,,,,,,,,,
140723_166_4,0.1323,,,,,,,,,,,,,,,,,,
140723_166_5,0,,,,,,,,,,,,,,,,,,
140723_165_1,0.0557,,,,,,,,,,,,,,,,,,
140723_165_2,0.0894,,,,,,,,,,,,,,,,,,
140723_165_3,0.053,,,,,,,,,,,,,,,,,,
140723_165_4,0.0288,,,,,,,,,,,,,,,,,,
140723_165_5,0.037,,,,,,,,,,,,,,,,,,
140723_168_1,0.0386,,,,,,,,,,,,,,,,,,
140723_168_2,0.0831,,,,,,,,,,,,,,,,,,
140723_168_3,0.0791,,,,,,,,,,,,,,,,,,
140723_168_4,0.0468,,,,,,,,,,,,,,,,,,
140723_168_5,0,,,,,,,,,,,,,,,,,,
140723_167_1,0.0568,,,,,,,,,,,,,,,,,,
140723_167_2,0.0441,,,,,,,,,,,,,,,,,,
140723_167_3,0.0765,,,,,,,,,,,,,,,,,,
140723_167_4,0.0416,,,,,,,,,,,,,,,,,,
140723_167_5,0.0295,,,,,,,,,,,,,,,,,,
140723_158_1,0.1013,,,,,,,,,,,,,,,,,,
140723_158_2,0.1348,,,,,,,,,,,,,,,,,,
140723_158_3,0.0816,,,,,,,,,,,,,,,,,,
140723_158_4,0.1041,,,,,,,,,,,,,,,,,,
140723_158_5,0.065,,,,,,,,,,,,,,,,,,
140723_157_1,0.1475,,,,,,,,,,,,,,,,,,
140723_157_2,0.0469,,,,,,,,,,,,,,,,,,
140723_157_3,0.0888,,,,,,,,,,,,,,,,,,
140723_157_4,0.077,,,,,,,,,,,,,,,,,,
140723_157_5,0.1196,,,,,,,,,,,,,,,,,,
140723_160_1,0.0538,,,,,,,,,,,,,,,,,,
140723_160_2,0.0868,,,,,,,,,,,,,,,,,,
140723_160_3,0.0576,,,,,,,,,,,,,,,,,,
140723_160_4,0.0869,,,,,,,,,,,,,,,,,,
140723_160_5,0.0395,,,,,,,,,,,,,,,,,,
140723_159_1,0.1037,,,,,,,,,,,,,,,,,,
140723_159_2,0.0422,,,,,,,,,,,,,,,,,,
140723_159_3,0.0351,,,,,,,,,,,,,,,,,,
140723_159_4,0.0412,,,,,,,,,,,,,,,,,,
140723_159_5,0.0208,,,,,,,,,,,,,,,,,,
140723_162_1,0.074,,,,,,,,,,,,,,,,,,
140723_162_2,0.0304,,,,,,,,,,,,,,,,,,
140723_162_3,0.0548,,,,,,,,,,,,,,,,,,
140723_162_4,0.0393,,,,,,,,,,,,,,,,,,
140723_162_5,0.1054,,,,,,,,,,,,,,,,,,
140723_161_1,0.0397,,,,,,,,,,,,,,,,,,
140723_161_2,0.0456,,,,,,,,,,,,,,,,,,
140723_161_3,0.0405,,,,,,,,,,,,,,,,,,
140723_161_4,0.0253,,,,,,,,,,,,,,,,,,
140723_161_5,0.0456,,,,,,,,,,,,,,,,,,
140723_65_1,0.0324,,,,,,,,,,,,,,,,,,
140723_65_2,0.0442,,,,,,,,,,,,,,,,,,
140723_65_3,0,,,,,,,,,,,,,,,,,,
140723_65_4,0.1212,,,,,,,,,,,,,,,,,,
140723_65_5,0.308,,,,,,,,,,,,,,,,,,
140723_66_1,0.0214,,,,,,,,,,,,,,,,,,
140723_66_2,0.1353,,,,,,,,,,,,,,,,,,
140723_66_3,0.0644,,,,,,,,,,,,,,,,,,
140723_66_4,0.0557,,,,,,,,,,,,,,,,,,
140723_66_5,0.0772,,,,,,,,,,,,,,,,,,
140723_64_1,0.0952,,,,,,,,,,,,,,,,,,
140723_64_2,0.0521,,,,,,,,,,,,,,,,,,
140723_64_3,0.0384,,,,,,,,,,,,,,,,,,
140723_64_4,0.0824,,,,,,,,,,,,,,,,,,
140723_64_5,0.0894,,,,,,,,,,,,,,,,,,
140723_63_1,0,,,,,,,,,,,,,,,,,,
140723_63_2,0.106,,,,,,,,,,,,,,,,,,
140723_63_3,0.1044,,,,,,,,,,,,,,,,,,
140723_63_4,0.0852,,,,,,,,,,,,,,,,,,
140723_63_5,0.0485,,,,,,,,,,,,,,,,,,
140723_68_1,0.0862,,,,,,,,,,,,,,,,,,
140723_68_2,0,,,,,,,,,,,,,,,,,,
140723_68_3,0.0454,,,,,,,,,,,,,,,,,,
140723_68_4,0.0267,,,,,,,,,,,,,,,,,,
140723_68_5,0.0383,,,,,,,,,,,,,,,,,,
140723_62_1,0.074,,,,,,,,,,,,,,,,,,
140723_62_2,0.0734,,,,,,,,,,,,,,,,,,
140723_62_3,0.0524,,,,,,,,,,,,,,,,,,
140723_62_4,0.0355,,,,,,,,,,,,,,,,,,
140723_62_5,0.0587,,,,,,,,,,,,,,,,,,
140723_67_1,0.0507,,,,,,,,,,,,,,,,,,
140723_67_2,0.0592,,,,,,,,,,,,,,,,,,
140723_67_3,0.0598,,,,,,,,,,,,,,,,,,
140723_67_4,0.0662,,,,,,,,,,,,,,,,,,
140723_67_5,0.0801,,,,,,,,,,,,,,,,,,
140723_61_1,0.0224,,,,,,,,,,,,,,,,,,
140723_61_2,0.0121,,,,,,,,,,,,,,,,,,
140723_61_3,0.0308,,,,,,,,,,,,,,,,,,
140723_61_4,0.1043,,,,,,,,,,,,,,,,,,
140723_61_5,0,,,,,,,,,,,,,,,,,,
140723_69_1,0.0309,,,,,,,,,,,,,,,,,,
140723_69_2,0.0421,,,,,,,,,,,,,,,,,,
140723_69_3,0.0846,,,,,,,,,,,,,,,,,,
140723_69_4,0.0562,,,,,,,,,,,,,,,,,,
140723_69_5,0.0397,,,,,,,,,,,,,,,,,,
140723_70_1,0.0658,,,,,,,,,,,,,,,,,,
140723_70_2,0.0529,,,,,,,,,,,,,,,,,,
140723_70_3,0.1094,,,,,,,,,,,,,,,,,,
140723_70_4,0.0223,,,,,,,,,,,,,,,,,,
140723_70_5,0.0876,,,,,,,,,,,,,,,,,,
140723_71_1,0.051,,,,,,,,,,,,,,,,,,
140723_71_2,0.0612,,,,,,,,,,,,,,,,,,
140723_71_3,0.1076,,,,,,,,,,,,,,,,,,
140723_71_4,0.1411,,,,,,,,,,,,,,,,,,
140723_71_5,0.0078,,,,,,,,,,,,,,,,,,
140723_72_1,0.0643,,,,,,,,,,,,,,,,,,
140723_72_2,0.0688,,,,,,,,,,,,,,,,,,
140723_72_3,0.0418,,,,,,,,,,,,,,,,,,
140723_72_4,0.08,,,,,,,,,,,,,,,,,,
140723_72_5,0,,,,,,,,,,,,,,,,,,
190723_140_1,0.1381,,,,,,,,,,,,,,,,,,
190723_140_2,0.1183,,,,,,,,,,,,,,,,,,
190723_140_3,0.0632,,,,,,,,,,,,,,,,,,
190723_140_4,0.1582,,2.5*1,1*0.8,1.8*1.1,,.6*.5,2.6*.8 ,,1.2*1,2.1*1.1,1.5*.9,,,,,,,
190723_140_5,0,,,,,,,,,,,,,,,,,,
190723_139_1,0.1676,,,,,,,,,,,,,,,,,,
190723_139_2,0.0763,,,,,,,,,,,,,,,,,,
190723_139_3,0.0394,,,,,,,,,,,,,,,,,,
190723_139_4,0.1134,,,,,,,,,,,,,,,,,,
190723_139_5,0.1094,,,,,,,,,,,,,,,,,,
190723_141_1,0.0927,,,,,,,,,,,,,,,,,,
190723_141_2,0.0548,,,,,,,,,,,,,,,,,,
190723_141_3,0.0966,,,,,,,,,,,,,,,,,,
190723_141_4,0.0725,,,,,,,,,,,,,,,,,,
190723_141_5,0.0652,,,,,,,,,,,,,,,,,,
190723_142_1,0.0713,,,,,,,,,,,,,,,,,,
190723_142_2,0.0788,,,,,,,,,,,,,,,,,,
190723_142_3,0.0348,,,,,,,,,,,,,,,,,,
190723_142_4,0.1034,,,,,,,,,,,,,,,,,,
190723_142_5,0.0709,,,,,,,,,,,,,,,,,,
190723_144_1,0.1872,,,,,,,,,,,,,,,,,,
190723_144_2,0.1187,,,,,,,,,,,,,,,,,,
190723_144_3,0.1783,,,,,,,,,,,,,,,,,,
190723_144_4,0.058,,,,,,,,,,,,,,,,,,
190723_144_5,0,,,,,,,,,,,,,,,,,,
190723_143_1,0.1029,,,,,,,,,,,,,,,,,,
190723_143_2,0.129,,,,,,,,,,,,,,,,,,
190723_143_3,0.0628,,,,,,,,,,,,,,,,,,
190723_143_4,0.1225,,,,,,,,,,,,,,,,,,
190723_143_5,0.149,,,,,,,,,,,,,,,,,,
190723_133_1,0.0893,,,,,,,,,,,,,,,,,,
190723_133_2,0.0705,,,,,,,,,,,,,,,,,,
190723_133_3,0.0429,,,,,,,,,,,,,,,,,,
190723_133_4,0.0688,,,,,,,,,,,,,,,,,,
190723_133_5,0.0478,,,,,,,,,,,,,,,,,,
190723_134_1,0.0916,,,,,,,,,,,,,,,,,,
190723_134_2,0.1401,,,,,,,,,,,,,,,,,,
190723_134_3,0.1438,,,,,,,,,,,,,,,,,,
190723_134_4,0.0465,,,,,,,,,,,,,,,,,,
190723_134_5,0,,,,,,,,,,,,,,,,,,
190723_135_1,0.0853,,,,,,,,,,,,,,,,,,
190723_135_2,0.0616,,,,,,,,,,,,,,,,,,
190723_135_3,0.133,,,,,,,,,,,,,,,,,,
190723_135_4,0.0297,,,,,,,,,,,,,,,,,,
190723_135_5,0,,,,,,,,,,,,,,,,,,
190723_136_1,0.1048,,,,,,,,,,,,,,,,,,
190723_136_2,0.1146,,,,,,,,,,,,,,,,,,
190723_136_3,0.0469,,,,,,,,,,,,,,,,,,
190723_136_4,0.0902,,,,,,,,,,,,,,,,,,
190723_136_5,0.0194,,,,,,,,,,,,,,,,,,
190723_137_1,0.0911,,,,,,,,,,,,,,,,,,
190723_137_2,0.0843,,,,,,,,,,,,,,,,,,
190723_137_3,0.0976,,,,,,,,,,,,,,,,,,
190723_137_4,0.0245,,,,,,,,,,,,,,,,,,
190723_137_5,0,,,,,,,,,,,,,,,,,,
190723_138_1,0.0991,,,,,,,,,,,,,,,,,,
190723_138_2,0.0659,,,,,,,,,,,,,,,,,,
190723_138_3,0.1264,,,,,,,,,,,,,,,,,,
190723_138_4,0.0756,,,,,,,,,,,,,,,,,,
190723_138_5,0,,,,,,,,,,,,,,,,,,
190723_55_1,0.0587,,,,,,,,,,,,,,,,,,
190723_55_2,0.0692,,,,,,,,,,,,,,,,,,
190723_55_3,0.0901,,,,,,,,,,,,,,,,,,
190723_55_4,0.0245,,,,,,,,,,,,,,,,,,
190723_55_5,0.0271,,,,,,,,,,,,,,,,,,
190723_56_1,0.0502,,,,,,,,,,,,,,,,,,
190723_56_2,0.0446,,,,,,,,,,,,,,,,,,
190723_56_3,0.0512,,,,,,,,,,,,,,,,,,
190723_56_4,0,,,,,,,,,,,,,,,,,,
190723_56_5,0.0435,,,,,,,,,,,,,,,,,,
190723_57_1,0,,,,,,,,,,,,,,,,,,
190723_57_2,0.1085,,,,,,,,,,,,,,,,,,
190723_57_3,0,,,,,,,,,,,,,,,,,,
190723_57_4,0.0457,,,,,,,,,,,,,,,,,,
190723_57_5,0.0515,,,,,,,,,,,,,,,,,,
190723_58_1,0.0363,,,,,,,,,,,,,,,,,,
190723_58_2,0.0283,,,,,,,,,,,,,,,,,,
190723_58_3,0.082,,,,,,,,,,,,,,,,,,
190723_58_4,0,,,,,,,,,,,,,,,,,,
190723_58_5,0.0364,,,,,,,,,,,,,,,,,,
190723_59_1,0.0318,,,,,,,,,,,,,,,,,,
190723_59_2,0.0516,,,,,,,,,,,,,,,,,,
190723_59_3,0.065,,,,,,,,,,,,,,,,,,
190723_59_4,0,,,,,,,,,,,,,,,,,,
190723_59_5,0.0685,,,,,,,,,,,,,,,,,,
190723_60_1,0.1286,,,,,,,,,,,,,,,,,,
190723_60_2,0,,,,,,,,,,,,,,,,,,
190723_60_3,0.1097,,,,,,,,,,,,,,,,,,
190723_60_4,0.1299,,,,,,,,,,,,,,,,,,
190723_60_5,0,,,,,,,,,,,,,,,,,,
190723_50_1,0.0812,,,,,,,,,,,,,,,,,,
190723_50_2,0,,,,,,,,,,,,,,,,,,
190723_50_3,0.1065,,,,,,,,,,,,,,,,,,
190723_50_4,0.1653,,,,,,,,,,,,,,,,,,
190723_50_5,0,,,,,,,,,,,,,,,,,,
190723_49_1,0.0273,,,,,,,,,,,,,,,,,,
190723_49_2,0.0941,,,,,,,,,,,,,,,,,,
190723_49_3,0.0472,,,,,,,,,,,,,,,,,,
190723_49_4,0,,,,,,,,,,,,,,,,,,
190723_49_5,0.0458,,,,,,,,,,,,,,,,,,
190723_42_1,0.07,,,,,,,,,,,,,,,,,,
190723_42_2,0,,,,,,,,,,,,,,,,,,
190723_42_3,0,,,,,,,,,,,,,,,,,,
190723_42_4,0,,,,,,,,,,,,,,,,,,
190723_42_5,0.1095,,,,,,,,,,,,,,,,,,
190723_52_1,0.0645,,,,,,,,,,,,,,,,,,
